Feature Id,Importances
data_channel,8.305122302701665
weekday,6.414523090009895
kw_avg_avg,4.889357858257479
self_reference_min_shares,4.435461157392004
kw_min_avg,3.7450140774103318
kw_max_avg,3.704457582955943
self_reference_avg_sharess,3.52687042070709
LDA_00,3.1112360259750242
LDA_01,2.8096782059979355
n_unique_tokens,2.628967622072375
feat_content_to_img_ratio,2.3930394635386443
kw_max_max,2.3698416623890695
LDA_02,2.1586125793913062
LDA_04,2.119483961428285
n_non_stop_unique_tokens,2.0568110919134948
kw_min_min,1.9943565221877715
self_reference_max_shares,1.9367907397842354
LDA_03,1.8951820314439163
kw_max_min,1.833939430851339
kw_avg_min,1.8139078082297646
