iter	Logloss
123	0.6080085093
124	0.6078281703
125	0.6075320545
126	0.6072241379
127	0.6070002135
128	0.6067349932
129	0.6064630371
130	0.6062514846
131	0.6060434505
132	0.6058799426
133	0.6056791855
134	0.6054486799
135	0.6052394601
136	0.604910335
137	0.6047107765
138	0.604542453
139	0.6042791401
140	0.6040997892
141	0.603793286
142	0.6035879582
143	0.6034152916
144	0.6031759666
145	0.6029713476
146	0.6026724308
147	0.6024695603
148	0.6022296296
149	0.6020938985
150	0.6018749916
151	0.601696749
152	0.6014589533
153	0.6011807382
154	0.6010373262
155	0.6007679089
156	0.6005794078
157	0.6003426174
158	0.6001970875
159	0.5999458674
160	0.599677756
161	0.5995727101
162	0.5993444082
163	0.5990663649
164	0.5988609426
165	0.5987219682
166	0.5985890552
167	0.598468729
168	0.5983515215
169	0.5981994534
170	0.5979953242
171	0.5977606473
172	0.5975598215
173	0.5973692671
174	0.5971164188
175	0.5969549772
176	0.5967133754
177	0.5965742335
178	0.5963527104
179	0.5961738836
180	0.5960183788
181	0.5958840095
182	0.5956229863
183	0.5954332051
184	0.5952339903
185	0.5950677803
186	0.594826011
187	0.5946038177
188	0.594448502
189	0.5941650803
190	0.5938976821
191	0.5936726106
192	0.5934244319
193	0.5932191256
194	0.593032141
195	0.5927557387
196	0.5926015613
197	0.5924544077
198	0.5922861701
199	0.592074188
200	0.5918939049
201	0.5916181985
202	0.5914282326
203	0.5911995011
204	0.5909715429
205	0.5908318081
206	0.5906374304
207	0.5904074574
208	0.590216366
209	0.5900296521
210	0.5898966531
211	0.5897941589
212	0.5896774369
213	0.5894622029
214	0.5892945238
215	0.5891016539
216	0.5888487283
217	0.588721808
218	0.5884909888
219	0.5882171596
220	0.5880804491
221	0.5879208333
222	0.5877666817
223	0.5875810503
224	0.5874518618
225	0.587242977
226	0.586961046
227	0.5868043942
228	0.5866253054
229	0.5864581847
230	0.5862188855
231	0.5860000344
232	0.5858240944
233	0.5856777999
234	0.5855199281
235	0.5852709848
236	0.5851065232
237	0.5849305359
238	0.5847011472
239	0.5845465875
240	0.5843882131
241	0.5842291042
242	0.5840233597
243	0.5838726319
244	0.5836197664
245	0.5834329794
246	0.5832249796
247	0.5829713366
248	0.5826578742
249	0.5824424297
250	0.5822281107
251	0.5821176091
252	0.5818751266
253	0.5816973136
254	0.5814650725
255	0.581301324
256	0.5811985119
257	0.5810381443
258	0.5807858716
259	0.580553609
260	0.5802977064
261	0.5800781894
262	0.5798864365
263	0.5797206819
264	0.5795226956
265	0.5793835322
266	0.5791934546
267	0.5789748312
268	0.5788243225
269	0.5786048958
270	0.5784233497
271	0.578280668
272	0.5781153602
273	0.5779640309
274	0.577749248
275	0.5775693515
276	0.5773676108
277	0.5771991713
278	0.5769597002
279	0.5767796534
280	0.5766447514
281	0.5764456569
282	0.5762315355
283	0.5760131398
284	0.5758545764
285	0.5756228507
286	0.5754733687
287	0.5752440874
288	0.575084609
289	0.574909541
290	0.5747033025
291	0.574514548
292	0.5743464479
293	0.5741381173
294	0.574005767
295	0.5737968737
296	0.5736272958
297	0.5734312341
298	0.5732475616
299	0.5730127214
300	0.5727788264
301	0.5726286484
302	0.57243641
303	0.5722093668
304	0.5720979029
305	0.5719554875
306	0.5716907226
307	0.571509808
308	0.5712266656
309	0.5710077415
310	0.5708327165
311	0.5706375354
312	0.5704137484
313	0.5702153799
314	0.5700020661
315	0.5697716807
316	0.5695564983
317	0.569291742
318	0.5691561742
319	0.568971389
320	0.5688004709
321	0.5685900052
322	0.5684164279
323	0.5683045215
324	0.568136473
325	0.5679683385
326	0.5677278622
327	0.5675222122
328	0.5673081295
329	0.5670390559
330	0.5668232548
331	0.5666514259
332	0.5665045859
333	0.5663300291
334	0.566146842
335	0.5659509951
336	0.5657478152
337	0.5655833493
338	0.5653760841
339	0.5652220958
340	0.5649778821
341	0.5648241516
342	0.5645948015
343	0.5643408621
344	0.5640716381
345	0.5638276736
346	0.5636055921
347	0.5634003674
348	0.5632223825
349	0.5629878431
350	0.5627355146
351	0.562524671
352	0.5623226424
353	0.562070374
354	0.5618787241
355	0.5616663941
356	0.5614318848
357	0.5612453641
358	0.5609896076
359	0.5607885584
360	0.5606581585
361	0.5603839857
362	0.5601856816
363	0.5599872271
364	0.5597770407
365	0.5595874615
366	0.5593994244
367	0.5592070829
368	0.5589500161
369	0.5586603397
370	0.5584678349
371	0.5583121626
372	0.5580613033
373	0.5578593692
374	0.5576003607
375	0.557354214
376	0.5571023494
377	0.5568257194
378	0.5565856599
379	0.556428905
380	0.5561745016
381	0.5560251571
382	0.5557824642
383	0.5555729995
384	0.5553843116
385	0.555113844
386	0.5548338418
387	0.5545635717
388	0.5543279798
389	0.5541608205
390	0.5538732447
391	0.5536485169
392	0.5534115761
393	0.5531720277
394	0.552987887
395	0.5527957667
396	0.55263216
397	0.5524864326
398	0.5522440275
399	0.5519987184
400	0.5518228084
401	0.551639965
402	0.5514369634
403	0.5512662793
404	0.5510049833
405	0.5508035711
406	0.5505830339
407	0.5503717972
408	0.5501727027
409	0.5499716557
410	0.5497511915
411	0.5494785158
412	0.5491935627
413	0.5489926231
414	0.5487671049
415	0.5486381741
416	0.5484777893
417	0.5482034232
418	0.5480330119
419	0.5479050499
420	0.5477275827
421	0.5475760838
422	0.5473957663
423	0.5471822528
424	0.5469729106
425	0.5467166407
426	0.5464730972
427	0.5462230691
428	0.5460067783
429	0.5457758775
430	0.5455589982
431	0.5452600191
432	0.5450708394
433	0.5448591516
434	0.5446366899
435	0.5444174586
436	0.5442377361
437	0.5439841468
438	0.5438554008
439	0.5437125043
440	0.5434468351
441	0.5433487634
442	0.5430838181
443	0.54286925
444	0.5426882215
445	0.5425369697
446	0.5423080535
447	0.5421006551
448	0.5418817675
449	0.5417098978
450	0.5415384469
451	0.5413027024
452	0.5410915753
453	0.5408993992
454	0.5407065744
455	0.540498871
456	0.5402496011
457	0.5400785154
458	0.5398550571
459	0.539649362
460	0.539464652
461	0.5392650613
462	0.5391514473
463	0.5390162124
464	0.5387758285
465	0.5386273152
466	0.5384297607
467	0.538317326
468	0.5381250102
469	0.5379175947
470	0.5377821042
471	0.5375348211
472	0.5373155169
473	0.537087099
474	0.5369316436
475	0.5367698283
476	0.5365498453
477	0.5363450458
478	0.5361429421
479	0.5359167043
480	0.5356838123
481	0.5355434117
482	0.5353587984
483	0.5351722305
484	0.5349617262
485	0.5347827898
486	0.5346307755
487	0.5343653834
488	0.5341663425
489	0.5339366681
490	0.5337415901
491	0.5334716187
492	0.5332707328
493	0.5331142872
494	0.5329387016
495	0.5327804153
496	0.5326003019
497	0.5324129414
498	0.5321943502
499	0.5320401836
500	0.5318239938
501	0.5317094197
502	0.5314774857
503	0.5313608432
504	0.5311676683
505	0.5309346796
506	0.530679881
507	0.5304783916
508	0.5302058104
509	0.5300562382
510	0.5299579217
511	0.5297815542
512	0.529658876
513	0.529506286
514	0.5293169022
515	0.5291062153
516	0.5288913551
517	0.5287591144
518	0.528622202
519	0.5283627875
520	0.5281790527
521	0.5279204502
522	0.5277546462
523	0.5275517992
524	0.5273194829
525	0.527084415
526	0.526841503
527	0.5266927255
528	0.5265122319
529	0.5263430235
530	0.5260569877
531	0.5258896501
532	0.5256948084
533	0.5254411483
534	0.5252218891
535	0.5250250907
536	0.5248206671
537	0.5246254173
538	0.5244375779
539	0.5242538431
540	0.524071745
541	0.5238735654
542	0.5237436917
543	0.5235750332
544	0.5233603512
545	0.5231129715
546	0.5229341189
547	0.5227423509
548	0.5225711084
549	0.5223919035
550	0.5222269157
551	0.5220740314
552	0.5218663817
553	0.5217501645
554	0.5215621703
555	0.5214042664
556	0.5211766625
557	0.5209958317
558	0.5207796183
559	0.520570407
560	0.5204145737
561	0.5201928659
562	0.5199984967
563	0.5197727401
564	0.5195622595
565	0.5193586521
566	0.5192324063
567	0.5190204565
568	0.5188435778
569	0.5186840908
570	0.5185021259
571	0.5183426969
572	0.5181186887
573	0.5178882861
574	0.5176937945
575	0.5174537564
576	0.5172606803
577	0.517062911
578	0.5169084759
579	0.5167267494
580	0.5165416571
581	0.5163743818
582	0.5162046471
583	0.51600781
584	0.5157651021
585	0.5155626482
586	0.5153800174
587	0.5151915013
588	0.5150114717
589	0.5147897682
590	0.5146187039
591	0.5144216456
592	0.5142743158
593	0.5141079877
594	0.5139124802
595	0.513728101
596	0.5134952111
597	0.5133574224
598	0.5132114393
599	0.5129936364
600	0.5128366539
601	0.5126232865
602	0.5124388729
603	0.5122481166
604	0.5120572571
605	0.5118982255
606	0.5116792541
607	0.5115279271
608	0.5113628748
609	0.5111340059
610	0.5109818368
611	0.5107848451
612	0.5106348411
613	0.5104911757
614	0.5103192544
615	0.5101828468
616	0.5099582565
617	0.5097519149
618	0.5095859648
619	0.509361774
620	0.5092114028
621	0.5091121154
622	0.5089347921
623	0.5087413337
624	0.5085805816
625	0.5084418542
626	0.508300777
627	0.5080844647
628	0.5079268163
629	0.5077930571
630	0.507651778
631	0.5075191914
632	0.5073417307
633	0.5071459289
634	0.5070006182
635	0.5068646401
636	0.5066576455
637	0.5064440031
638	0.5062872633
639	0.5061025083
640	0.505868001
641	0.5057260432
642	0.5056086703
643	0.5054971441
644	0.5053311404
645	0.5051170255
646	0.5049038298
647	0.5047671473
648	0.5046261538
649	0.5045401427
650	0.5043503894
651	0.5041439984
652	0.5039762012
653	0.5038257204
654	0.5036183091
655	0.5034711662
656	0.5032506891
657	0.5030046734
658	0.5028729611
659	0.5027441033
660	0.5025666297
661	0.5023930588
662	0.5022740214
663	0.5020424589
664	0.501847454
665	0.5016490876
666	0.5015122418
667	0.5013263269
668	0.5011548158
669	0.5009539256
670	0.5007547795
671	0.5006031432
672	0.5004350624
673	0.5002738377
674	0.5001479226
675	0.4999677684
676	0.4998030942
677	0.4996815243
678	0.4996083706
679	0.4994409428
680	0.4992746469
681	0.4990675535
682	0.4988950738
683	0.4987328589
684	0.4984837287
685	0.4982979018
686	0.4980702916
687	0.4979126303
688	0.4977351051
689	0.4975327586
690	0.4973773183
691	0.4972052316
692	0.4969784097
693	0.4968344822
694	0.4966862159
695	0.4964891232
696	0.4963547646
697	0.4961779161
698	0.4959984513
699	0.4957841431
700	0.4956085789
701	0.4954979355
702	0.4953010147
703	0.4951135468
704	0.4948961391
705	0.4947411413
706	0.494567841
707	0.4944128604
708	0.4942336791
709	0.494011546
710	0.4938106515
711	0.4936462093
712	0.4934869135
713	0.4932975898
714	0.4931205629
715	0.4929419423
716	0.4928170625
717	0.4926442241
718	0.4924377321
719	0.4922483118
720	0.4920694248
721	0.4918866995
722	0.4917448619
723	0.4915371177
724	0.4914427255
725	0.4912535135
726	0.4910895309
727	0.490926429
728	0.4907251865
729	0.4905888626
730	0.4903945536
731	0.4902054898
732	0.4900945844
733	0.4899385298
734	0.4897912129
735	0.4896916291
736	0.4895369233
737	0.4893563137
738	0.4892693618
739	0.4891064919
740	0.4889824584
741	0.4888322761
742	0.4886422157
743	0.4885064847
744	0.488387531
745	0.4883253832
746	0.4881188998
747	0.4879578986
748	0.4877743871
749	0.4876316517
750	0.4875220264
751	0.4873377074
752	0.4871694612
753	0.4869980404
754	0.4867659818
755	0.486661011
756	0.4864967492
757	0.4863011794
758	0.4861801251
759	0.4860190142
760	0.4858409177
761	0.4856286199
762	0.4854881484
763	0.4853641772
764	0.4852391299
765	0.4850398571
766	0.4849023046
767	0.4847514758
768	0.4846285528
769	0.4844442982
770	0.4842698681
771	0.4841305329
772	0.4839779278
773	0.4838596121
774	0.4836664844
775	0.4835363873
776	0.4833742649
777	0.4831945595
778	0.483007474
779	0.4829069516
780	0.4827469469
781	0.4825625355
782	0.4824256102
783	0.4822431706
784	0.4820996834
785	0.481967084
786	0.4818351612
787	0.4816950184
788	0.481474769
789	0.4813699293
790	0.4812833876
791	0.4810824867
792	0.4809271774
793	0.480729073
794	0.4805673178
795	0.4803667842
796	0.4801903136
797	0.4800393861
798	0.4798696191
799	0.4796655285
800	0.4795160272
801	0.4793272018
802	0.479121481
803	0.4789960556
804	0.4787633441
805	0.4786379788
806	0.4784332224
807	0.4781905531
808	0.4780181142
809	0.4779080571
810	0.4777192812
811	0.4775239025
812	0.477354011
813	0.4771996704
814	0.4770323972
815	0.4768376479
816	0.4766732401
817	0.4765210989
818	0.4763840598
819	0.4762781461
820	0.4761142537
821	0.4760157095
822	0.4759091923
823	0.4757954537
824	0.4756779048
825	0.4755074011
826	0.4753268968
827	0.4751556586
828	0.4749309093
829	0.4747858133
830	0.4746500221
831	0.4744851246
832	0.4743828967
833	0.4741805695
834	0.4740402333
835	0.4739091568
836	0.4737540559
837	0.4735483393
838	0.4734237795
839	0.4732189758
840	0.4730731453
841	0.4729398886
842	0.4727172035
843	0.4725022273
844	0.4723891739
845	0.4722746493
846	0.4720841485
847	0.4719250395
848	0.4717628977
849	0.4716114268
850	0.4714732385
851	0.4713408195
852	0.4711689391
853	0.4710594083
854	0.4708889132
855	0.4707049851
856	0.4705573116
857	0.4703699447
858	0.4701698986
859	0.4700323977
860	0.4699020708
861	0.4696811878
862	0.469526772
863	0.4693554779
864	0.4691426883
865	0.4689357302
866	0.4687631238
867	0.4686474499
868	0.468506435
869	0.4683564461
870	0.4681737659
871	0.4680123394
872	0.4678614591
873	0.4676833174
874	0.4675588329
875	0.4673910012
876	0.4672446208
877	0.4670898485
878	0.4668929018
879	0.4667581288
880	0.4666486066
881	0.4664172031
882	0.4662819618
883	0.4661287724
884	0.4659059606
885	0.4657306736
886	0.4655403575
887	0.4654037158
888	0.4652597067
889	0.4651067729
890	0.4649848981
891	0.4647983452
892	0.4646427223
893	0.4644737501
894	0.4643351624
895	0.464160045
896	0.4640208988
897	0.4639158249
898	0.4637300173
899	0.4635650252
900	0.4633783843
901	0.4632118522
902	0.463044332
903	0.4628968948
904	0.4627059193
905	0.4626014447
906	0.4625312573
907	0.4624337463
908	0.4622832376
909	0.4621048339
910	0.4619978548
911	0.4617968937
912	0.4616338455
913	0.4614394484
914	0.4612775407
915	0.4611425593
916	0.4609583799
917	0.4608458119
918	0.4607151779
919	0.4605680908
920	0.4604257012
921	0.4602836789
922	0.460073673
923	0.4599215984
924	0.4597014414
925	0.4595495752
926	0.4593607714
927	0.4591764308
928	0.4590080558
929	0.4588482444
930	0.4586517166
931	0.4585733435
932	0.4583986708
933	0.4582598446
934	0.4581419863
935	0.4579873021
936	0.4577985476
937	0.4576584734
938	0.4574736346
939	0.4572791795
940	0.4570884254
941	0.4569416089
942	0.4567919293
943	0.4566872313
944	0.4564947029
945	0.4563184493
946	0.4562241644
947	0.4560660349
948	0.4558598974
949	0.4557791873
950	0.4555999481
951	0.4554461831
952	0.4552875059
953	0.455085327
954	0.4549549893
955	0.4547996585
956	0.4546777171
957	0.4546177065
958	0.4544717471
959	0.4542935883
960	0.454136058
961	0.4539892115
962	0.4538313354
963	0.4536740801
964	0.4535478858
965	0.4533768688
966	0.4531736181
967	0.4529945227
968	0.4528348747
969	0.4527266885
970	0.4525524883
971	0.4524152
972	0.4523095397
973	0.452171461
974	0.4519770618
975	0.4518687424
976	0.4516635628
977	0.4515011912
978	0.4513199029
979	0.4511567343
980	0.4509945711
981	0.4508063986
982	0.4506167635
983	0.450530224
984	0.4504257859
985	0.4502808618
986	0.45010202
987	0.4499216466
988	0.449751738
989	991	0.4505653990992	0.4504087251
993	0.4502930749
994	0.4501738548
995	0.4500660982
996	0.4499318857
997	0.4498345079
998	0.4497263496
999	0.4496056883
	0.4482828132
999	0.448113841
9952
